name,type,city,district,neighborhood,landAddress,streetAddress,longtitude,latitude
피오니케이크,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 366-19,서울특별시 마포구 연남로 59-1,126.919964,37.56442189
요코쵸,일식 회/초밥,서울특별시,마포구,연남동,서울특별시 마포구 연남동 240-1,서울특별시 마포구 성미산로 161-15,126.9235166,37.56531933
카페인홀릭연남,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 482-39,서울특별시 마포구 성미산로19길 25,126.9182768,37.56290171
데어데어,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 390-37,서울특별시 마포구 동교로38길 33-9,126.9259802,37.56165653
천국이네,김밥/만두/분식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 567-6,서울특별시 마포구 동교로27길 46,126.9214888,37.55993965
이노시시,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 226-16,서울특별시 마포구 성미산로 197,126.9269856,37.56258473
싱그루맛집,백반/한정식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 487-164,서울특별시 마포구 성미산로 101,126.9184186,37.56170463
표정,경양식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 387-15,서울특별시 마포구 동교로 262-10,126.9255582,37.56267086
브론시스,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 383-23,서울특별시 마포구 연희로1길 57,126.9263349,37.56138944
옥자,국수/칼국수,서울특별시,마포구,연남동,서울특별시 마포구 연남동 241-42,서울특별시 마포구 성미산로29길 40-15,126.9224728,37.56549002
솝커피,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 255-12,서울특별시 마포구 동교로39길 4-13,126.9239166,37.56269195
오카에리,일식 회/초밥,서울특별시,마포구,연남동,서울특별시 마포구 연남동 383-72,서울특별시 마포구 연희로1길 55,126.9262341,37.56131644
얼터너티브푸드서비스,일식 회/초밥,서울특별시,마포구,연남동,서울특별시 마포구 연남동 224-60,서울특별시 마포구 성미산로 189-5,126.9265016,37.56318402
오마오ma,경양식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 387-13,서울특별시 마포구 동교로 262-6,126.9253971,37.5628496
올더플레이트,파스타/스테이크,서울특별시,마포구,연남동,서울특별시 마포구 연남동 228-58,서울특별시 마포구 동교로38길 5,126.9245969,37.56182414
플랜힙,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 224-55,서울특별시 마포구 동교로50길 17,126.9269618,37.56345852
하쿠텐,일식 회/초밥,서울특별시,마포구,연남동,서울특별시 마포구 연남동 387-6,서울특별시 마포구 동교로 266-12,126.9257939,37.56280816
오흐뒤구떼,빵/도넛,서울특별시,마포구,연남동,서울특별시 마포구 연남동 229-16,서울특별시 마포구 동교로47길 10,126.9248559,37.56349342
현대음률,경양식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 227-22,서울특별시 마포구 성미산로 194,126.926384,37.5627054
더건강한식탁,백반/한정식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 228-7,서울특별시 마포구 동교로 266-7,126.9258012,37.56308755
대승곱창,곱창 전골/구이,서울특별시,마포구,연남동,서울특별시 마포구 연남동 260-16,서울특별시 마포구 동교로38길 4,126.9245658,37.56162563
꼬요식당,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 225-13,서울특별시 마포구 동교로 275-1,126.9261257,37.56413571
소울메이트,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 382-27,서울특별시 마포구 동교로38길 30,126.9254501,37.56152556
발트,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 387-12,서울특별시 마포구 동교로 262-3,126.9254857,37.56298556
런던베이글뮤지엄,빵/도넛,서울특별시,마포구,연남동,서울특별시 마포구 연남동 223-20,서울특별시 마포구 성미산로 161-4,126.9241778,37.56499198
빌리언,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 228-47,서울특별시 마포구 동교로 248-2,126.9245249,37.56211182
밀라노식당,경양식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 566-61,서울특별시 마포구 연남로1길 6-9,126.9222291,37.56118984
일더하기이분의일,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 561-3,서울특별시 마포구 동교로27길 80,126.9203507,37.56115466
카페클로이인패리스,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 227-24,서울특별시 마포구 성미산로 190-3,126.9261575,37.56271235
케이브,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 226-21,서울특별시 마포구 성미산로 193,126.9266983,37.56288847
수퍼바,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 373-10,서울특별시 마포구 동교로 227-11,126.9234915,37.56076886
커피냅로스터스연남동,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 453-32,서울특별시 마포구 성미산로27길 70,126.9201955,37.5664153
역전할머니맥주연남점,생맥주 전문,서울특별시,마포구,연남동,서울특별시 마포구 연남동 228-20,서울특별시 마포구 동교로 266,126.9254608,37.56314752
숨은골목,백반/한정식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 260-41,서울특별시 마포구 동교로34길 12,126.9249385,37.56089918
봄브레드,그 외 기타 간이 음식점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 245-43,서울특별시 마포구 성미산로27길 34,126.9213464,37.5651013
