,title,link,view,upload_date,video_pk
71,연남동 맛집 #빠리가옥 다녀왔어요 분위기도 빠리 직원들도 외쿡인ㅋㅋ,https://www.youtube.com/shorts/ZULJAVG1o_o,163회,11개월 전,ZULJAVG1o_o
72,연남 ‘우와’ 오코노미야끼전문점 #shorts #연남동맛집 #일상 #밥먹자 #오코노미야끼,https://www.youtube.com/shorts/f9bx7ni_Qu8,160회,1년 전,f9bx7ni_Qu8
73,#연남다저스 #직접갈아맛있는 #함박스테이크 #연남동맛집 #또간집 #연남동데이트,https://www.youtube.com/shorts/FPirWyITkrk,31회,1년 전,FPirWyITkrk
74,연남동에서 라멘 생각나면 꼭 가야할 신상맛집 #콘부 #연남동맛집 #연남동데이트 #홍대맛집 #홍대데이트 #라멘맛집 #seoul #seoultour #hongdae,https://www.youtube.com/shorts/l5DI_807Cwg,4.5천회,11개월 전,l5DI_807Cwg
75,연남동 쌔삥 주점에서 적시고 옴🍶 #연남동맛집 #애주당,https://www.youtube.com/shorts/hv3jADh45VE,7.7천회,1년 전,hv3jADh45VE
76,#연남동맛집 #함박스테이크 #저메추 #점메추 #연남동,https://www.youtube.com/shorts/chAItZKOV8E,304회,1년 전,chAItZKOV8E
77,#shorts #쇼츠 이곳이 마포구의 발리입니까? 연남동맛집 릴린,https://www.youtube.com/shorts/E0nlYrfVWt0,931회,1년 전,E0nlYrfVWt0
78,#먹방브이로그 #라멘맛집 #연남동맛집,https://www.youtube.com/shorts/GBaOw_X_6mA,184회,2년 전,GBaOw_X_6mA
79,홍대 연남동 맛집! 사루카메~ 라멘이 먹고 싶다면 당연 여기!!,https://www.youtube.com/shorts/T4V-WDWKk00,441회,1년 전,T4V-WDWKk00
80,연남동맛집 옛날불고기대상,https://www.youtube.com/shorts/GFwXfKtHmKk,261회,1년 전,GFwXfKtHmKk
81,연남동맛집 야끼니꾸 춈춈,https://www.youtube.com/shorts/pKwB-6WfvXg,77회,1년 전,pKwB-6WfvXg
82,#땡스오트 #그릭요거트 #연남동맛집,https://www.youtube.com/shorts/42aZ7DSI5Jg,107회,1년 전,42aZ7DSI5Jg
83,홍대맛집 연남동맛집 하스 일식전문 심야식당하스 07088880198,https://www.youtube.com/shorts/gQlCqlMMdoA,86회,6년 전,gQlCqlMMdoA
84,연남동에서 낮술했습니다 #shorts #연남동맛집 #낮술,https://www.youtube.com/shorts/rb6JVL6DMMg,1.6천회,1년 전,rb6JVL6DMMg
85,연남동 술집🍶 ‘요코쵸’에서 #shorts #연남동 #연남동맛집,https://www.youtube.com/shorts/xmIF79OWczw,1.5천회,2년 전,xmIF79OWczw
86,폐업의 슬픔은 먹방으로 극복한다(feat.연남동 맛집 추천),https://www.youtube.com/shorts/5wavoZB2SYc,3.4천회,1년 전,5wavoZB2SYc
87,연남동 맛집 파스타와 리조또가 맛있는 이관우파스타,https://www.youtube.com/shorts/1um81m1y4Jo,111회,5년 전,1um81m1y4Jo
88,연남동 맛집 연남물갈비,https://www.youtube.com/shorts/00jVFtccBWQ,305회,1년 전,00jVFtccBWQ
